Discharge results -
[0, 1, 3, 5, 7, 9, 11, 13, 15] -this could be PID with  fungal infection please get it evaluated to avoid any complications 
[0, 1, 3, 5, 7, 9, 11, 14, 15] - 
[0, 1, 3, 5, 7, 9, 12, 13, 15]
[0, 1, 3, 5, 7, 9, 12, 14, 15]
[0, 1, 3, 5, 7, 10, 11, 13, 15]
[0, 1, 3, 5, 7, 10, 11, 14, 15]
[0, 1, 3, 5, 7, 10, 12, 13, 15]
[0, 1, 3, 5, 7, 10, 12, 14, 15]
[0, 1, 3, 5, 8, 9, 11, 13, 15]
[0, 1, 3, 5, 8, 9, 11, 14, 15]
[0, 1, 3, 5, 8, 9, 12, 13, 15]
[0, 1, 3, 5, 8, 9, 12, 14, 15]
[0, 1, 3, 5, 8, 10, 11, 13, 15]
[0, 1, 3, 5, 8, 10, 11, 14, 15]
[0, 1, 3, 5, 8, 10, 12, 13, 15]
[0, 1, 3, 5, 8, 10, 12, 14, 15]
[0, 1, 3, 6, 7, 9, 11, 13, 15]
[0, 1, 3, 6, 7, 9, 11, 14, 15]
[0, 1, 3, 6, 7, 9, 12, 13, 15]
[0, 1, 3, 6, 7, 9, 12, 14, 15]
[0, 1, 3, 6, 7, 10, 11, 13, 15]
[0, 1, 3, 6, 7, 10, 11, 14, 15]
[0, 1, 3, 6, 7, 10, 12, 13, 15]
[0, 1, 3, 6, 7, 10, 12, 14, 15]
[0, 1, 3, 6, 8, 9, 11, 13, 15]
[0, 1, 3, 6, 8, 9, 11, 14, 15]
[0, 1, 3, 6, 8, 9, 12, 13, 15]
[0, 1, 3, 6, 8, 9, 12, 14, 15]
[0, 1, 3, 6, 8, 10, 11, 13, 15]
[0, 1, 3, 6, 8, 10, 11, 14, 15]
[0, 1, 3, 6, 8, 10, 12, 13, 15]
[0, 1, 3, 6, 8, 10, 12, 14, 15]
[0, 1, 4, 5, 7, 9, 11, 13, 15]
[0, 1, 4, 5, 7, 9, 11, 14, 15]
[0, 1, 4, 5, 7, 9, 12, 13, 15]
[0, 1, 4, 5, 7, 9, 12, 14, 15]
[0, 1, 4, 5, 7, 10, 11, 13, 15]
[0, 1, 4, 5, 7, 10, 11, 14, 15]
[0, 1, 4, 5, 7, 10, 12, 13, 15]
[0, 1, 4, 5, 7, 10, 12, 14, 15]
[0, 1, 4, 5, 8, 9, 11, 13, 15]
[0, 1, 4, 5, 8, 9, 11, 14, 15]
[0, 1, 4, 5, 8, 9, 12, 13, 15]
[0, 1, 4, 5, 8, 9, 12, 14, 15]
[0, 1, 4, 5, 8, 10, 11, 13, 15]
[0, 1, 4, 5, 8, 10, 11, 14, 15]
[0, 1, 4, 5, 8, 10, 12, 13, 15]
[0, 1, 4, 5, 8, 10, 12, 14, 15]
[0, 1, 4, 6, 7, 9, 11, 13, 15]
[0, 1, 4, 6, 7, 9, 11, 14, 15]
[0, 1, 4, 6, 7, 9, 12, 13, 15]
[0, 1, 4, 6, 7, 9, 12, 14, 15]
[0, 1, 4, 6, 7, 10, 11, 13, 15]
[0, 1, 4, 6, 7, 10, 11, 14, 15]
[0, 1, 4, 6, 7, 10, 12, 13, 15]
[0, 1, 4, 6, 7, 10, 12, 14, 15]
[0, 1, 4, 6, 8, 9, 11, 13, 15]
[0, 1, 4, 6, 8, 9, 11, 14, 15]
[0, 1, 4, 6, 8, 9, 12, 13, 15]
[0, 1, 4, 6, 8, 9, 12, 14, 15]
[0, 1, 4, 6, 8, 10, 11, 13, 15]
[0, 1, 4, 6, 8, 10, 11, 14, 15]
[0, 1, 4, 6, 8, 10, 12, 13, 15]
[0, 1, 4, 6, 8, 10, 12, 14, 15]
[0, 2, 3, 5, 7, 9, 11, 13, 15]  - PID with bacterial infection
[0, 2, 3, 5, 7, 9, 11, 14, 15]
[0, 2, 3, 5, 7, 9, 12, 13, 15]
[0, 2, 3, 5, 7, 9, 12, 14, 15]
[0, 2, 3, 5, 7, 10, 11, 13, 15]
[0, 2, 3, 5, 7, 10, 11, 14, 15]
[0, 2, 3, 5, 7, 10, 12, 13, 15]
[0, 2, 3, 5, 7, 10, 12, 14, 15]
[0, 2, 3, 5, 8, 9, 11, 13, 15]
[0, 2, 3, 5, 8, 9, 11, 14, 15]
[0, 2, 3, 5, 8, 9, 12, 13, 15]
[0, 2, 3, 5, 8, 9, 12, 14, 15]
[0, 2, 3, 5, 8, 10, 11, 13, 15]
[0, 2, 3, 5, 8, 10, 11, 14, 15]
[0, 2, 3, 5, 8, 10, 12, 13, 15]
[0, 2, 3, 5, 8, 10, 12, 14, 15]
[0, 2, 3, 6, 7, 9, 11, 13, 15]
[0, 2, 3, 6, 7, 9, 11, 14, 15]
[0, 2, 3, 6, 7, 9, 12, 13, 15]
[0, 2, 3, 6, 7, 9, 12, 14, 15]
[0, 2, 3, 6, 7, 10, 11, 13, 15]
[0, 2, 3, 6, 7, 10, 11, 14, 15]
[0, 2, 3, 6, 7, 10, 12, 13, 15]
[0, 2, 3, 6, 7, 10, 12, 14, 15]
[0, 2, 3, 6, 8, 9, 11, 13, 15]
[0, 2, 3, 6, 8, 9, 11, 14, 15]
[0, 2, 3, 6, 8, 9, 12, 13, 15]
[0, 2, 3, 6, 8, 9, 12, 14, 15]
[0, 2, 3, 6, 8, 10, 11, 13, 15]
[0, 2, 3, 6, 8, 10, 11, 14, 15]
[0, 2, 3, 6, 8, 10, 12, 13, 15]
[0, 2, 3, 6, 8, 10, 12, 14, 15]
[0, 2, 4, 5, 7, 9, 11, 13, 15]
[0, 2, 4, 5, 7, 9, 11, 14, 15]
[0, 2, 4, 5, 7, 9, 12, 13, 15]
[0, 2, 4, 5, 7, 9, 12, 14, 15]
[0, 2, 4, 5, 7, 10, 11, 13, 15]
[0, 2, 4, 5, 7, 10, 11, 14, 15]
[0, 2, 4, 5, 7, 10, 12, 13, 15]
[0, 2, 4, 5, 7, 10, 12, 14, 15]
[0, 2, 4, 5, 8, 9, 11, 13, 15]
[0, 2, 4, 5, 8, 9, 11, 14, 15]
[0, 2, 4, 5, 8, 9, 12, 13, 15]
[0, 2, 4, 5, 8, 9, 12, 14, 15]
[0, 2, 4, 5, 8, 10, 11, 13, 15]
[0, 2, 4, 5, 8, 10, 11, 14, 15]
[0, 2, 4, 5, 8, 10, 12, 13, 15]
[0, 2, 4, 5, 8, 10, 12, 14, 15]
[0, 2, 4, 6, 7, 9, 11, 13, 15]
[0, 2, 4, 6, 7, 9, 11, 14, 15]
[0, 2, 4, 6, 7, 9, 12, 13, 15]
[0, 2, 4, 6, 7, 9, 12, 14, 15]
[0, 2, 4, 6, 7, 10, 11, 13, 15]
[0, 2, 4, 6, 7, 10, 11, 14, 15]
[0, 2, 4, 6, 7, 10, 12, 13, 15]
[0, 2, 4, 6, 7, 10, 12, 14, 15]
[0, 2, 4, 6, 8, 9, 11, 13, 15]
[0, 2, 4, 6, 8, 9, 11, 14, 15]
[0, 2, 4, 6, 8, 9, 12, 13, 15]
[0, 2, 4, 6, 8, 9, 12, 14, 15]
[0, 2, 4, 6, 8, 10, 11, 13, 15]
[0, 2, 4, 6, 8, 10, 11, 14, 15]
[0, 2, 4, 6, 8, 10, 12, 13, 15]
[0, 2, 4, 6, 8, 10, 12, 14, 15]
