[0, 1, 3, 6, 8,  11,  13]
[0, 1, 3, 6, 8,  12,  13]
[0, 1, 3, 6, 9,  11,  13]
[0, 1, 3, 6, 9,  12,  13]
[0, 1, 3, 6, 10,  11 , 13]
[0, 1, 3, 6, 10,  12 , 13]
[0, 1, 3, 7, 8,  11,  13]
[0, 1, 3, 7, 8,  12,  13]
[0, 1, 3, 7, 9,  11,  13]
[0, 1, 3, 7, 9,  12,  13]
[0, 1, 3, 7, 10,  11 , 13]
[0, 1, 3, 7, 10,  12 , 13]
[0, 1, 4, 6, 8,  11,  13]
[0, 1, 4, 6, 8,  12,  13]
[0, 1, 4, 6, 9,  11,  13]
[0, 1, 4, 6, 9,  12,  13]
[0, 1, 4, 6, 10,  11 , 13]
[0, 1, 4, 6, 10,  12 , 13]
[0, 1, 4, 7, 8,  11,  13]
[0, 1, 4, 7, 8,  12,  13]
[0, 1, 4, 7, 9,  11,  13]
[0, 1, 4, 7, 9,  12,  13]
[0, 1, 4, 7, 10,  11 , 13]
[0, 1, 4, 7, 10,  12 , 13]
[0, 1, 5, 6, 8,  11,  13]
[0, 1, 5, 6, 8,  12,  13]
[0, 1, 5, 6, 9,  11,  13]
[0, 1, 5, 6, 9,  12,  13]
[0, 1, 5, 6, 10,  11 , 13]
[0, 1, 5, 6, 10,  12 , 13]
[0, 1, 5, 7, 8,  11,  13]
[0, 1, 5, 7, 8,  12,  13]
[0, 1, 5, 7, 9,  11,  13]
[0, 1, 5, 7, 9,  12,  13]
[0, 1, 5, 7, 10,  11 , 13]
[0, 1, 5, 7, 10,  12 , 13]
[0, 2, 3, 6, 8,  11,  13]
[0, 2, 3, 6, 8,  12,  13]
[0, 2, 3, 6, 9,  11,  13]
[0, 2, 3, 6, 9,  12,  13]
[0, 2, 3, 6, 10,  11 , 13]
[0, 2, 3, 6, 10,  12 , 13]
[0, 2, 3, 7, 8,  11,  13]
[0, 2, 3, 7, 8,  12,  13]
[0, 2, 3, 7, 9,  11,  13]
[0, 2, 3, 7, 9,  12,  13]
[0, 2, 3, 7, 10,  11 , 13]
[0, 2, 3, 7, 10,  12 , 13]
[0, 2, 4, 6, 8,  11,  13]
[0, 2, 4, 6, 8,  12,  13]
[0, 2, 4, 6, 9,  11,  13]
[0, 2, 4, 6, 9,  12,  13]
[0, 2, 4, 6, 10,  11 , 13]
[0, 2, 4, 6, 10,  12 , 13]
[0, 2, 4, 7, 8,  11,  13]
[0, 2, 4, 7, 8,  12,  13]
[0, 2, 4, 7, 9,  11,  13]
[0, 2, 4, 7, 9,  12,  13]
[0, 2, 4, 7, 10,  11 , 13]
[0, 2, 4, 7, 10,  12 , 13]
[0, 2, 5, 6, 8,  11,  13]
[0, 2, 5, 6, 8,  12,  13]
[0, 2, 5, 6, 9,  11,  13]
[0, 2, 5, 6, 9,  12,  13]
[0, 2, 5, 6, 10,  11 , 13]
[0, 2, 5, 6, 10,  12 , 13]
[0, 2, 5, 7, 8,  11,  13]
[0, 2, 5, 7, 8,  12,  13]
[0, 2, 5, 7, 9,  11,  13]
[0, 2, 5, 7, 9,  12,  13]
[0, 2, 5, 7, 10,  11 , 13]
[0, 2, 5, 7, 10,  12 , 13]
